Categorie,Total.Standard,VP.Standard,FN.Standard,Total.Ech,FP.Ech,Rappel,Precision,Fscore,Version,Date,Environnement,Reference,Outils
INDEL,499 697,496 260,3 437,929 495,4 780,0.9931,0.9905,0.9918,3.2.0,22/12/2020,Scratch3,NA12878,Hapy
SNP,3 042 789,3 040 819,1 970,4 015 520,19 150,0.9994,0.9937,0.9965,3.2.0,22/12/2020,Scratch3,NA12878,Hapy
INDEL,499697,496260,3437,929495,4780,0.993122,0.9904639999999999,0.991791,3.2.1,10/03/2021,Scratch3,NA12878,Hapy
SNP,3042789,3040819,1970,4015520,19150,0.999353,0.9937440000000001,0.99654,3.2.1,10/03/2021,Scratch3,NA12878,Hapy
INDEL,499 697,496 260,3 437,929 495,4 780,0.9931,0.9905,0.9918,3.2.2,02/08/2021,Scratch3,NA12878,Hapy
SNP,3 042 789,3 040 819,1 970,4 015 520,19 150,0.9994,0.9937,0.9965,3.2.2,02/08/2021,Scratch3,NA12878,Hapy
INDEL,499 697,496 260,3 437,929 495,4 780,0.9931,0.9905,0.9918,3.3.0,21/05/2022,Scratch3,NA12878,Hapy
SNP,3 042 789,3 040 819,1 970,4 015 520,19 150,0.9994,0.9937,0.9965,3.3.0,21/05/2022,Scratch3,NA12878,Hapy
INDEL,499 697,496 255,3 442,929 420,4 774,0.9931,0.9905,0.9918,3.3.1,25/05/2022,Scratch3,NA12878,Hapy
SNP,3 042 789,3 040 826,1 963,4 015 454,19 118,0.9994,0.9938,0.9965,3.3.1,25/05/2022,Scratch3,NA12878,Hapy
INDEL,499697,496255,3442,929420,4774,0.993112,0.990476,0.991792,v3.3.1,21/04/2022,Scratch3,GRCH38,Hapy
SNP,3042789,3040826,1963,4015454,19118,0.999355,0.993754,0.996547,v3.3.1,21/04/2022,Scratch3,GRCH38,Hapy
