Categorie,TP,FN,FP,FNp,FNt,FPp,FPt,Version,Date,Environnement,Reference,Outils
SNP_DELINS_ALL,3537081,5405,23892,4284,1121,22771,1121,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_het,2136950,2678,22627,2467,211,21717,910,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_homalt,1366554,1414,1104,504,910,893,211,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_hetalt,33577,1313,161,1313,0,161,0,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_het_homalt,3503504,4092,23731,2971,1121,22610,1121,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_ALL,3040826,1963,19118,1353,610,18508,610,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_het,1847314,1153,18945,1066,87,87,523,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_homalt,1192673,807,154,284,523,67,87,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_hetalt,839,3,19,3,0,19,0,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_het_homalt,3039987,1960,19099,1350,610,18489,610,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_ALL,496255,3442,4774,2931,511,4263,511,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_het,289636,1525,3682,2467,124,3295,387,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_homalt,173881,607,950,220,387,826,124,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_hetalt,32738,1310,142,1310,0,142,0,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_het_homalt,463517,2132,23892,1621,511,4121,1121,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_ALL,3537081,5405,23892,4284,1121,22771,1121,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_het,2136950,2678,22627,2467,211,21717,910,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_homalt,1366554,1414,1104,504,910,893,211,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_hetalt,33577,1313,161,1313,0,161,0,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_DELINS_het_homalt,3503504,4092,23731,2971,1121,22610,1121,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_ALL,3040826,1963,19118,1353,610,18508,610,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_het,1847314,1153,18945,1066,87,87,523,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_homalt,1192673,807,154,284,523,67,87,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_hetalt,839,3,19,3,0,19,0,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
SNP_het_homalt,3039987,1960,19099,1350,610,18489,610,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_ALL,496255,3442,4774,2931,511,4263,511,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_het,289636,1525,3682,2467,124,3295,387,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_homalt,173881,607,950,220,387,826,124,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_hetalt,32738,1310,142,1310,0,142,0,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
DELINS_het_homalt,463517,2132,23892,1621,511,4121,1121,3.3.1,21/04/2022,Scratch3,NA12878,Hapy
